city,companyName,eduLevel,jobName,recruieCount,salary,workingExp
北京,北京通付盾数据科技有限公司,本科,测试工程师,招1人,1万-1.5万,3-5年
北京,乐友国际商业集团有限公司,本科,数据分析师,招1人,1万-1.5万,1-3年
北京,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",本科,算法工程师,招1人,面议,3-5年
北京,北京星衡科技有限公司,本科,算法实习生,招2人,4千-6千,经验不限
北京,互联网域名系统北京市工程研究中心有限公司,本科,RPKI开发工程师,招1人,1.5万-2万,3-5年
北京,北京华通时代科技发展有限公司,大专,数据库工程师,招2人,9千-1.4万,1-3年
北京,北京钱方银通科技有限公司,本科,经营分析师经理,招1人,2.5万-3.5万,5-10年
北京,北京创世诺亚智能科技有限公司,本科,高级软件工程师-全栈开发,招1人,1.5万-2万,3-5年
北京,北京天华星航科技有限公司,本科,openstack开发工程师,招4人,2万-3万,经验不限
北京,北京天码科技有限责任公司,本科,运维工程师,招1人,1万-1.8万,5-10年
北京,厚益云科技发展(北京)有限公司,本科,it运维工程师,招1人,1.5万-2万,5-10年
北京,北京奥技异电气技术研究所有限公司,本科,JAVA高级软件工程师,招3人,1.8万-2.5万,5-10年
北京,南京高泰科技有限公司,本科,初级运维工程师,招1人,8千-1.2万,经验不限
北京,中通天鸿（北京）通信科技股份有限公司,本科,高级语音系统运维工程师,招1人,1.5万-2万,1-3年
北京,长安责任保险股份有限公司,本科,主机管理岗,招1人,1万-2万,3-5年
北京,美团点评,本科,美团外卖-高级算法开发工程师,招1人,面议,1-3年
北京,海保人寿保险股份有限公司,本科,软件开发工程师,招1人,1万-2万,5-10年
北京,智慧互通科技有限公司,博士,图像算法科学家,招1人,3万-5万,1-3年
北京,北京康众时代医学研究发展有限公司,硕士,临床研究医学经理,招1人,1.5万-2万,3-5年
北京,北京弈友围棋文化传播有限责任公司,大专,后端研发工程师,招1人,1.3万-1.5万,1-3年
北京,广道高新（北京）科技有限公司,本科,运维工程师,招1人,8千-1万,1-3年
北京,普天信息技术有限公司,本科,数据分析研发工程师（JAVA）,招1人,1万-1.5万,3-5年
北京,北京弈友围棋文化传播有限责任公司,大专,系统研发工程师,招1人,1.3万-1.5万,1-3年
北京,北京易天新动网络科技有限公司,本科,数据分析师,招1人,1.5万-2.5万,1-3年
北京,中邮创业基金管理股份有限公司,本科,高级前端开发工程师,招2人,1.5万-2.5万,5-10年
北京,北京众星智能科技有限责任公司,本科,高级导航算法工程师,招1人,1万-1.5万,3-5年
北京,北京燕京电子有限公司,硕士,仪器应用工程师,招2人,1万-1.5万,经验不限
北京,博彦科技(深圳)有限公司,大专,测试工程师,招3人,1.5万-2万,5-10年
